Brand,Model,Year,Engine_Type,Price,Year_norm,Price_norm
Audi,Hyundai,2013.0,Inline 4 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Audi,Hyundai,2013.0,V8 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Audi,Hyundai,2013.0,Inline 5 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Audi,Diesel,2013.0,V6 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Audi,Diesel,2013.0,Inline 4 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Audi,Diesel,2013.0,V8 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Audi,Diesel,2013.0,Inline 5 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Audi,Audi A5 Sportback,2017.0,V6 cylinder ,4700000.0,0.9985148514851485,0.5766871165644172
Audi,Audi A5 Sportback,2017.0,Inline 4 cylinder ,4700000.0,0.9985148514851485,0.5766871165644172
Audi,Audi A5 Sportback,2017.0,V8 cylinder ,4700000.0,0.9985148514851485,0.5766871165644172
Audi,Audi A5 Sportback,2017.0,Inline 5 cylinder ,4700000.0,0.9985148514851485,0.5766871165644172
Audi,Audi A6 2.0 TDI Premium Plus,2007.0,V6 cylinder ,1470000.0,0.9935643564356436,0.18036809815950922
Audi,Audi A6 2.0 TDI Premium Plus,2007.0,Inline 4 cylinder ,1470000.0,0.9935643564356436,0.18036809815950922
Audi,Audi A6 2.0 TDI Premium Plus,2007.0,V8 cylinder ,1470000.0,0.9935643564356436,0.18036809815950922
Audi,Audi A6 2.0 TDI Premium Plus,2007.0,Inline 5 cylinder ,1470000.0,0.9935643564356436,0.18036809815950922
Audi,Audi Q5 2.0 TFSI Quattro Premium Plus,2017.0,V6 cylinder ,1850000.0,0.9985148514851485,0.22699386503067484
Audi,Audi Q5 2.0 TFSI Quattro Premium Plus,2017.0,Inline 4 cylinder ,1850000.0,0.9985148514851485,0.22699386503067484
Audi,Audi Q5 2.0 TFSI Quattro Premium Plus,2017.0,V8 cylinder ,1850000.0,0.9985148514851485,0.22699386503067484
Audi,Audi Q5 2.0 TFSI Quattro Premium Plus,2017.0,Inline 5 cylinder ,1850000.0,0.9985148514851485,0.22699386503067484
Audi,Audi A6 2.0 TDI  Design Edition,2005.0,V6 cylinder ,1735000.0,0.9925742574257426,0.21288343558282208
Audi,Audi A6 2.0 TDI  Design Edition,2005.0,Inline 4 cylinder ,1735000.0,0.9925742574257426,0.21288343558282208
Audi,Audi A6 2.0 TDI  Design Edition,2005.0,V8 cylinder ,1735000.0,0.9925742574257426,0.21288343558282208
Audi,Audi A6 2.0 TDI  Design Edition,2005.0,Inline 5 cylinder ,1735000.0,0.9925742574257426,0.21288343558282208
Audi,Audi Q3 2.0 TDI Quattro Premium Plus,2017.0,V6 cylinder ,1750000.0,0.9985148514851485,0.2147239263803681
Audi,Audi Q3 2.0 TDI Quattro Premium Plus,2017.0,Inline 4 cylinder ,1750000.0,0.9985148514851485,0.2147239263803681
Audi,Audi Q3 2.0 TDI Quattro Premium Plus,2017.0,V8 cylinder ,1750000.0,0.9985148514851485,0.2147239263803681
Audi,Audi Q3 2.0 TDI Quattro Premium Plus,2017.0,Inline 5 cylinder ,1750000.0,0.9985148514851485,0.2147239263803681
Audi,Audi A6 2.0 TDI Premium Plus,2013.0,V6 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Audi,Audi A6 2.0 TDI Premium Plus,2013.0,Inline 4 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Audi,Audi A6 2.0 TDI Premium Plus,2013.0,V8 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Audi,Audi A6 2.0 TDI Premium Plus,2013.0,Inline 5 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
BMW,BMW 3 Series 320d Sport,2017.0,Inline 4 cylinder ,1490000.0,0.9985148514851485,0.18282208588957055
BMW,BMW,2013.0,Inline 4 cylinder ,2150000.0,0.9965346534653465,0.26380368098159507
BMW,BMW X1 sDrive 20d xLine,2018.0,Inline 4 cylinder ,2400000.0,0.999009900990099,0.294478527607362
BMW,BMW 3 Series GT Luxury Line,2013.0,Inline 4 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
BMW,BMW 3 Series 320d Sport Line,2005.0,Inline 4 cylinder ,1550000.0,0.9925742574257426,0.1901840490797546
BMW,BMW,2013.0,Inline 4 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
BMW,Diesel,2013.0,Inline 4 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
BMW,BMW,2011.0,Inline 4 cylinder ,1375000.0,0.9955445544554455,0.1687116564417178
BMW,BMW,2014.0,Inline 4 cylinder ,4950000.0,0.997029702970297,0.6073619631901841
BMW,BMW 7 Series 730Ld,2007.0,Inline 4 cylinder ,2500000.0,0.9935643564356436,0.3067484662576687
BMW,BMW 5 Series 520d Luxury Line,2009.0,Inline 4 cylinder ,2900000.0,0.9945544554455445,0.3558282208588957
BMW,BMW 7 Series Signature 730Ld,2017.0,Inline 4 cylinder ,4000000.0,0.9985148514851485,0.49079754601226994
BMW,BMW X5 xDrive 30d xLine,2017.0,Inline 4 cylinder ,4950000.0,0.9985148514851485,0.6073619631901841
BMW,BMW X5 xDrive 30d xLine,2016.0,Inline 4 cylinder ,4950000.0,0.998019801980198,0.6073619631901841
BMW,BMW,2011.0,Inline 4 cylinder ,2000000.0,0.9955445544554455,0.24539877300613497
BMW,BMW X1 sDrive 20d xLine,2007.0,Inline 4 cylinder ,2750000.0,0.9935643564356436,0.3374233128834356
Bmw,Hyundai,2013.0,V8 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Bmw,Hyundai,2013.0,Inline 4 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Bmw,Hyundai,2013.0,Inline 6 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Bmw,Hyundai,2013.0,V12 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Buick,Hyundai,2013.0,Inline 4 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Buick,Hyundai,2013.0,V6 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Chevrolet,Chevrolet Cruze LTZ AT,2009.0,Inline 6 cylinder ,650000.0,0.9945544554455445,0.07975460122699386
Chevrolet,Chevrolet Cruze LTZ AT,2009.0,V8 cylinder ,650000.0,0.9945544554455445,0.07975460122699386
Chevrolet,Chevrolet Cruze LTZ AT,2009.0,Inline 4 cylinder ,650000.0,0.9945544554455445,0.07975460122699386
Chevrolet,Chevrolet Cruze LTZ AT,2009.0,V6 cylinder ,650000.0,0.9945544554455445,0.07975460122699386
Chevrolet,Chevrolet Cruze LTZ AT,2009.0,Inline 3 cylinder ,650000.0,0.9945544554455445,0.07975460122699386
Chevrolet,Chevrolet,2011.0,Inline 6 cylinder ,159000.0,0.9955445544554455,0.01950920245398773
Chevrolet,Chevrolet,2011.0,V8 cylinder ,159000.0,0.9955445544554455,0.01950920245398773
Chevrolet,Chevrolet,2011.0,Inline 4 cylinder ,159000.0,0.9955445544554455,0.01950920245398773
Chevrolet,Chevrolet,2011.0,V6 cylinder ,159000.0,0.9955445544554455,0.01950920245398773
Chevrolet,Chevrolet,2011.0,Inline 3 cylinder ,159000.0,0.9955445544554455,0.01950920245398773
Chevrolet,Chevrolet,2014.0,Inline 6 cylinder ,200999.0,0.997029702970297,0.024662453987730062
Chevrolet,Chevrolet,2014.0,V8 cylinder ,200999.0,0.997029702970297,0.024662453987730062
Chevrolet,Chevrolet,2014.0,Inline 4 cylinder ,200999.0,0.997029702970297,0.024662453987730062
Chevrolet,Chevrolet,2014.0,V6 cylinder ,200999.0,0.997029702970297,0.024662453987730062
Chevrolet,Chevrolet,2014.0,Inline 3 cylinder ,200999.0,0.997029702970297,0.024662453987730062
Chevrolet,Chevrolet,2012.0,Inline 6 cylinder ,130000.0,0.996039603960396,0.015950920245398775
Chevrolet,Chevrolet,2012.0,V8 cylinder ,130000.0,0.996039603960396,0.015950920245398775
Chevrolet,Chevrolet,2012.0,Inline 4 cylinder ,130000.0,0.996039603960396,0.015950920245398775
Chevrolet,Chevrolet,2012.0,V6 cylinder ,130000.0,0.996039603960396,0.015950920245398775
Chevrolet,Chevrolet,2012.0,Inline 3 cylinder ,130000.0,0.996039603960396,0.015950920245398775
Chevrolet,Chevrolet Beat Diesel LS,2013.0,Inline 6 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Chevrolet,Chevrolet Beat Diesel LS,2013.0,V8 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Chevrolet,Chevrolet Beat Diesel LS,2013.0,Inline 4 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Chevrolet,Chevrolet Beat Diesel LS,2013.0,V6 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Chevrolet,Chevrolet Beat Diesel LS,2013.0,Inline 3 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Chevrolet,Chevrolet,2013.0,Inline 6 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Chevrolet,Chevrolet,2013.0,V8 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
